AREA_NAME,POPULATION_2023,TOTAL_CRIME_2023
South Eglinton-Davisville,21987,253
North Toronto,15077,238
Dovercourt Village,13837,265
Junction-Wallace Emerson,26240,486
Yonge-Bay Corridor,14731,1117
Bay-Cloverhill,19055,350
Bendale-Glen Andrew,20773,572
Downsview,17003,503
Oakdale-Beverley Heights,21503,842
Avondale,16149,179
East Willowdale,18285,324
Yonge-Doris,23234,360
Fenside-Parkwoods,22909,258
Parkwoods-O'Connor Hills,14788,230
East L'Amoreaux,23988,229
L'Amoreaux West,24374,285
Malvern East,28098,324
Malvern West,19412,232
Morningside Heights,28167,423
West Rouge,22396,276
Woburn North,29500,475
Golfdale-Cedarbrae-Woburn,28651,424
Guildwood,10332,124
Scarborough Village,17713,342
Eglinton East,24231,429
West Hill,29259,828
Morningside,18463,250
Highland Creek,13871,171
Centennial Scarborough,14609,140
Milliken,28371,620
Agincourt North,31260,300
Agincourt South-Malvern West,28097,504
Dorset Park,26286,554
Ionview,14121,220
Kennedy Park,18173,536
Cliffcrest,17922,339
Birchcliffe-Cliffside,23417,396
Downtown Yonge East,18023,1259
Church-Wellesley,22938,710
St Lawrence-East Bayfront-The Islands,31003,878
Harbourfront-CityPlace,31477,601
Wellington Place,28870,898
Fort York-Liberty Village,21860,325
West Queen West,15136,253
Humber Bay Shores,20822,333
Mimico-Queensway,18313,717
Etobicoke City Centre,25495,984
Islington,25937,445
Bendale South,10881,171
Caledonia-Fairbank,10581,138
Briar Hill-Belgravia,15146,253
Oakwood Village,22404,279
Humewood-Cedarvale,15620,189
Lawrence Park North,15581,198
Lawrence Park South,16778,252
Forest Hill North,13172,212
Forest Hill South,12160,243
Yonge-Eglinton,13743,240
Mount Pleasant East,18084,203
Rosedale-Moore Park,23053,655
Yonge-St.Clair,13953,146
Casa Loma,11972,185
Annex,34502,933
Wychwood,14609,223
Corso Italia-Davenport,14784,319
Weston-Pelham Park,12330,215
Junction Area,15252,335
Oakridge,15389,350
Clairlea-Birchmount,28782,595
Wexford/Maryvale,29870,739
Tam O'Shanter-Sullivan,29770,394
Steeles,26395,174
Mount Dennis,14256,261
Lambton Baby Point,8294,83
Weston,19809,526
Beechborough-Greenbrook,7057,169
Rockcliffe-Smythe,23453,452
Keelesdale-Eglinton West,11969,231
Palmerston-Little Italy,14699,222
University,7564,306
Kensington-Chinatown,21229,999
North St.James Town,20492,462
Moss Park,22207,1113
Regent Park,14166,303
Cabbagetown-South St.James Town,11968,304
South Riverdale,30135,768
Blake-Jones,8229,167
North Riverdale,12168,187
Playter Estates-Danforth,7764,220
Danforth,10173,249
Greenwood-Coxwell,15400,242
Woodbine Corridor,13282,213
The Beaches,23097,317
East End-Danforth,23011,430
Taylor-Massey,16157,271
Woodbine-Lumsden,8141,83
Danforth East York,17883,222
Old East York,9540,144
Runnymede-Bloor West Village,10772,190
High Park North,24474,365
High Park-Swansea,26135,294
Roncesvalles,15939,299
South Parkdale,23054,538
Little Portugal,17399,272
Dufferin Grove,12709,337
Trinity-Bellwoods,17814,361
Don Valley Village,29424,534
Pleasant View,16732,180
Flemingdon Park,23485,307
Victoria Village,18592,314
Banbury-Don Mills,31047,503
Bridle Path-Sunnybrook-York Mills,10707,269
St.Andrew-Windfields,20205,357
Bedford Park-Nortown,25583,506
Lansing-Westgate,17872,359
Willowdale West,19546,322
Newtonbrook West,26265,681
Westminster-Branson,27742,318
Bathurst Manor,17255,288
Clanton Park,19089,467
Englemount-Lawrence,24465,333
Yorkdale-Glen Park,17258,809
Brookhaven-Amesbury,18738,377
Maple Leaf,10575,140
Rustic,10404,163
York University Heights,29897,1236
Glenfield-Jane Heights,32251,620
Broadview North,12200,165
Leaside-Bennington,18185,279
Thorncliffe Park,22508,299
O'Connor-Parkview,19901,294
Henry Farm,22782,320
Bayview Village,25685,460
Newtonbrook East,17338,286
Bayview Woods-Steeles,13641,165
Hillcrest Village,18076,247
Alderwood,13503,146
Long Branch,11601,204
New Toronto,12205,311
Stonegate-Queensway,26728,494
Kingsway South,10257,244
Etobicoke West Mall,12713,200
Markland Wood,10741,139
Eringate-Centennial-West Deane,19558,304
Princess-Rosethorn,12552,243
Edenbridge-Humber Valley,17271,274
Humber Heights-Westmount,11398,124
Willowridge-Martingrove-Richview,24097,347
Kingsview Village-The Westway,22759,438
Elms-Old Rexdale,9884,184
Rexdale-Kipling,10722,243
Thistletown-Beaumond Heights,10530,224
Mount Olive-Silverstone-Jamestown,35386,690
West Humber-Clairville,36388,1856
Black Creek,23047,450
Pelmo Park-Humberlea,12121,274
Humbermede,16568,415
Humber Summit,13425,553
